Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Champerico,GT,14.3,-91.9167,76.82,87,100,3.8,overcast clouds
273,Narsaq,GL,60.9167,-46.05,41.22,79,0,2.75,clear sky
274,Gat,IL,31.61,34.7642,74.08,100,39,11.97,scattered clouds
275,Casma,CL,-41.0082,-73.1244,29.8,90,86,1.07,overcast clouds
276,Gravdal,NO,68.1214,13.5031,46.29,76,40,4.61,scattered clouds
277,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,72,0,8.05,clear sky
278,Bambous Virieux,MU,-20.3428,57.7575,71.22,77,40,3.44,scattered clouds
279,Emerald,AU,-23.5333,148.1667,73.35,41,5,11.41,clear sky
280,Imbituba,BR,-28.24,-48.6703,60.1,99,100,3.0,moderate rain
281,Auki,SB,-8.7676,160.7034,84.29,68,15,0.18,few clouds
282,Constitucion,CL,-35.3333,-72.4167,50.13,83,97,7.63,overcast clouds
283,Ostrovnoy,RU,68.0531,39.5131,48.76,71,90,5.12,overcast clouds
284,Rosetta,EG,31.4044,30.4164,77.27,70,0,19.37,clear sky
285,Erenhot,CN,43.6475,111.9767,78.71,36,81,3.96,broken clouds
286,Andenes,NO,69.3143,16.1194,44.58,76,40,11.5,scattered clouds
287,Dabat,ET,12.9842,37.765,59.92,56,61,0.6,broken clouds
288,Katsuura,JP,35.1333,140.3,73.78,86,90,5.5,overcast clouds
289,Sioux Lookout,CA,50.1001,-91.917,57.27,88,100,19.57,mist
290,Mezen,RU,65.8522,44.24,51.49,63,66,8.08,broken clouds
291,Hurghada,EG,27.2574,33.8129,75.6,50,0,28.34,clear sky
292,Fukue,JP,32.6881,128.8419,79.16,89,40,11.5,scattered clouds
293,Sakaiminato,JP,35.55,133.2333,85.98,70,40,8.05,scattered clouds
294,Pangkalanbuun,ID,-2.6833,111.6167,90.0,55,88,4.76,overcast clouds
295,Nouakchott,MR,18.0858,-15.9785,78.73,83,34,12.64,scattered clouds
296,Balaguer,ES,41.7912,0.8109,68.16,86,39,4.9,scattered clouds
297,Paros,GR,37.0833,25.15,79.52,60,0,2.3,clear sky
298,Prince Rupert,CA,54.3161,-130.3201,51.49,73,100,5.75,overcast clouds
299,Sassandra,CI,4.95,-6.0833,72.59,96,100,1.9,moderate rain
300,Sungairaya,ID,0.7,108.9,85.46,70,77,1.21,broken clouds
301,Husavik,IS,66.0449,-17.3389,46.78,78,39,10.69,scattered clouds
302,Tibati,CM,6.4667,12.6333,63.39,98,86,2.28,light rain
303,Avera,US,33.194,-82.5271,72.91,40,75,5.66,broken clouds
304,Las Palmas,ES,28.4204,-14.0131,63.39,72,0,8.05,clear sky
305,Wamba,NG,8.9333,8.6,69.28,96,99,1.72,light rain
306,Lloydminster,CA,53.2835,-110.0016,62.82,63,40,8.05,scattered clouds
307,Mnogovershinnyy,RU,53.9353,139.9242,73.4,47,0,8.39,clear sky
308,Saldanha,ZA,-33.0117,17.9442,55.45,81,99,5.06,overcast clouds
309,Port Lincoln,AU,-34.7333,135.8667,62.35,72,98,15.08,overcast clouds
310,Hasaki,JP,35.7333,140.8333,77.29,84,67,10.25,broken clouds
311,Guane,CU,22.2025,-84.0875,76.14,87,35,5.61,scattered clouds
312,Matara,LK,5.9485,80.5353,83.3,75,100,12.93,overcast clouds
313,Haines Junction,CA,60.7522,-137.5108,62.55,39,83,11.5,broken clouds
314,Sinnamary,GF,5.3833,-52.95,76.64,85,100,5.21,overcast clouds
315,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,56.26,85,83,9.57,broken clouds
316,Balykshi,KZ,47.0667,51.8667,82.4,30,40,11.18,scattered clouds
317,Bowen,AU,-20.0167,148.2333,72.82,63,84,16.58,broken clouds
318,Karlskrona,SE,56.1616,15.5866,55.85,77,78,7.61,broken clouds
319,Kosh-Agach,RU,50.0,88.6667,70.57,32,52,1.05,broken clouds
320,Margate,GB,51.3813,1.3862,58.3,93,5,1.01,clear sky
321,Ilulissat,GL,69.2167,-51.1,33.82,93,100,4.61,light snow
322,Coihaique,CL,-45.5752,-72.0662,19.35,93,0,2.3,clear sky
323,Tiznit,MA,29.5833,-9.5,59.27,85,47,2.95,scattered clouds
324,La Macarena,CO,2.1837,-73.7849,69.28,99,81,2.35,broken clouds
325,Kitgum,UG,3.2783,32.8867,68.14,86,93,1.57,overcast clouds
326,Belle Fourche,US,44.6714,-103.8522,62.55,69,3,5.44,clear sky
327,Rovaniemi,FI,66.5,25.7167,54.81,94,75,11.5,broken clouds
328,Nizhnyaya Omka,RU,55.4338,74.9426,65.73,65,68,16.26,light rain
329,Benguela,AO,-12.5763,13.4055,62.82,82,1,3.47,clear sky
330,Shakiso,ET,5.75,38.9167,61.41,73,99,4.81,overcast clouds
331,Vestmannaeyjar,IS,63.4427,-20.2734,48.27,73,46,19.55,scattered clouds
332,Vila Velha,BR,-20.3297,-40.2925,67.95,95,0,0.0,clear sky
333,Semnan,IR,35.5729,53.3971,84.04,17,40,0.0,scattered clouds
334,Trinidad,BO,-14.8333,-64.9,71.67,77,76,3.29,broken clouds
335,Ternate,ID,0.8,127.4,84.51,69,8,3.78,clear sky
336,Yeppoon,AU,-23.1333,150.7333,74.98,56,79,8.46,broken clouds
337,Jatiroto,ID,-7.8833,111.1167,82.36,68,96,5.95,overcast clouds
338,Sitka,US,57.0531,-135.33,49.89,76,100,5.75,overcast clouds
339,Rayong,TH,12.8333,101.4333,91.29,55,69,7.02,moderate rain
340,San Andres,CO,12.5847,-81.7006,82.42,83,75,12.66,broken clouds
341,Banda Aceh,ID,5.5577,95.3222,85.24,65,76,9.08,broken clouds
342,Dingli,MT,35.8614,14.3822,72.81,94,0,3.44,clear sky
343,Kalmunai,LK,7.4167,81.8167,87.28,59,94,0.83,overcast clouds
344,Faanui,PF,-16.4833,-151.75,80.2,72,44,14.47,scattered clouds
